Occode	Level1	Level2	Level3
686	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	FOOD	CORN MILLERS
687	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	FOOD	CORN FLOUR AND SEED MERCHANTS DEALERS
688	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	FOOD	HAY STRAW AND CHAFF CUTTERS
689	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	FOOD	HAY STRAW AND CHAFF DEALERS
690	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	FOOD	BISCUIT CAKE BREAD MAKERS
691	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	FOOD	BAKERS (DEALERS)
692	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	FOOD	BISCUIT CAKE DEALERS (CONFECTIONISTS)
693	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	FOOD	SUGAR REFINERS
694	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	FOOD	JAM PRESERVE SWEET MAKERS
695	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	FOOD	CHOCOLATE COCOA MAKERS
696	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	FOOD	COFFEE TEA PLANTER GROWER
697	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	FOOD	GROCERS TEA DEALERS
698	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	FOOD	GREENGROCERS FRUITERERS POTATO DEALERS
699	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	FOOD	GINGER BEER MINERAL WATER MANUFACTURE OTHERS
700	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	FOOD	MUSTARD VINEGAR SPICE PICKLE MAKERS
701	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	FOOD	ICE MAKERS
702	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	FOOD	SUGAR PLANTER GROWER
703	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	FOOD	OTHERS DEALING IN FOOD
704	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	FOOD	HOP MERCHANTS DEALERS
705	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	FOOD	ICE DEALERS IMPORTERS VENDORS
706	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	TOBACCO	TOBACCO MANUFACTURE
707	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	TOBACCO	TOBACCONISTS
708	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	MAKERS OF SPIRITUOUS DRINKS	MALTSTERS
709	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	MAKERS OF SPIRITUOUS DRINKS	BREWERS
710	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	MAKERS OF SPIRITUOUS DRINKS	DISTILLERS AND RECTIFIERS
711	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	"BOARD, LODGING, AND DEALING IN SPIRITUOUS DRINKS"	COFFEE AND EATING-HOUSE KEEPERS
712	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	"BOARD, LODGING, AND DEALING IN SPIRITUOUS DRINKS"	LODGING AND BOARDING-HOUSE KEEPERS
713	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	"BOARD, LODGING, AND DEALING IN SPIRITUOUS DRINKS"	"INNKEEPERS, HOTEL KEEPERS AND PUBLICANS"
714	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	"BOARD, LODGING, AND DEALING IN SPIRITUOUS DRINKS"	BEERSELLERS
715	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	"BOARD, LODGING, AND DEALING IN SPIRITUOUS DRINKS"	BEER BOTTLERS
716	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	"BOARD, LODGING, AND DEALING IN SPIRITUOUS DRINKS"	CELLARMEN
717	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	"BOARD, LODGING, AND DEALING IN SPIRITUOUS DRINKS"	BARMEN (NOT IN SERVICE)
718	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	"BOARD, LODGING, AND DEALING IN SPIRITUOUS DRINKS"	BOARDING LODGING HOUSE WAITERS (NON-RESIDENT)
719	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	"BOARD, LODGING, AND DEALING IN SPIRITUOUS DRINKS"	HOTEL WAITERS
720	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	"BOARD, LODGING, AND DEALING IN SPIRITUOUS DRINKS"	HOTEL PORTERS BOOTS KNIFEMEN PLATEMEN PLATE CLEANERS POLISHERS (NON-RESIDENT)
721	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	"BOARD, LODGING, AND DEALING IN SPIRITUOUS DRINKS"	OTHER HOTEL SERVANTS
722	"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"	"BOARD, LODGING, AND DEALING IN SPIRITUOUS DRINKS"	WINE AND SPIRIT MERCHANTS
723	PERSONS ENGAGED IN GAS WATER AND ELECTRICITY SUPPLY AND SANITARY SERVICE	"GAS, WATER, ELECTRICITY"	GAS WORKS SERVICE
724	PERSONS ENGAGED IN GAS WATER AND ELECTRICITY SUPPLY AND SANITARY SERVICE	"GAS, WATER, ELECTRICITY"	WATERWORKS SERVICE
725	PERSONS ENGAGED IN GAS WATER AND ELECTRICITY SUPPLY AND SANITARY SERVICE	"GAS, WATER, ELECTRICITY"	OTHER ELECTRICITY SUPPLY
726	PERSONS ENGAGED IN GAS WATER AND ELECTRICITY SUPPLY AND SANITARY SERVICE	"GAS, WATER, ELECTRICITY"	ELECTRICITY GENERATION DISTRIBUTION
727	PERSONS ENGAGED IN GAS WATER AND ELECTRICITY SUPPLY AND SANITARY SERVICE	SANITARY SERVICE	TOWN DRAINAGE
728	PERSONS ENGAGED IN GAS WATER AND ELECTRICITY SUPPLY AND SANITARY SERVICE	SANITARY SERVICE	"SCAVENGING, STREET CLEANERS, CROSSING SWEEPERS, DUSTMEN"
729	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	ADVERTISING	CIRCULAR ENVELOPE ADDRESSERS
730	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	ADVERTISING	ADVERTISING AGENTS
731	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	ADVERTISING	BILLSTICKERS
732	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	ADVERTISING	"SANDWICHMEN, BILL DISTRIBUTORS"
733	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	ABOUT ANIMALS	CATTLE SHEEP ETC SALESMEN
734	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	ABOUT ANIMALS	DROVERS
735	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	ABOUT ANIMALS	OTHERS ENGAGED ABOUT ANIMALS (NOT AGRIC)
736	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	ABOUT ANIMALS	KNACKER CATSMEAT DEALERS
737	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	SUNDRY SPECIFIED INDUSTRIES	"CELLULOID MAKERS, WORKERS"
738	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	SUNDRY SPECIFIED INDUSTRIES	TOBACCO PIPE AND SNUFF BOX MANUFACTURE
739	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	SUNDRY SPECIFIED INDUSTRIES	BONE HORN IVORY TORTOISE-SHELL WORKERS
740	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	SUNDRY SPECIFIED INDUSTRIES	COMB MAKERS
741	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	SUNDRY SPECIFIED INDUSTRIES	FLOORCLOTH AND OILCLOTH MANUFACTURE
742	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	SUNDRY SPECIFIED INDUSTRIES	JAPANNERS
743	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	SUNDRY SPECIFIED INDUSTRIES	CHIMNEY SWEEPERS
744	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	SUNDRY SPECIFIED INDUSTRIES	RAG DEALERS
745	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	SUNDRY SPECIFIED INDUSTRIES	ORGAN GRINDERS
746	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	SUNDRY SPECIFIED INDUSTRIES	"ANIMAL, BIRD PRESERVERS TAXIDERMISTS"
747	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	SUNDRY SPECIFIED INDUSTRIES	FIGURE AND IMAGE MAKERS NOT EARTHENWARE
748	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	SUNDRY SPECIFIED INDUSTRIES	GUT MANUFACTURE
749	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	SUNDRY SPECIFIED INDUSTRIES	CHARCOAL BURNERS
750	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	SUNDRY SPECIFIED INDUSTRIES	OTHER WORKERS IN SUNDRY INDUSTRIES
751	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	SUNDRY SPECIFIED INDUSTRIES	DEALERS IN SUNDRY MATERIALS
752	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	SUNDRY SPECIFIED INDUSTRIES	DEALERS IN BOOKBINDERS MATERIALS
753	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	SUNDRY SPECIFIED INDUSTRIES	SPONGE DEALER
754	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	SUNDRY SPECIFIED INDUSTRIES	CHARCOAL DEALERS
755	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	SUNDRY SPECIFIED INDUSTRIES	WATER DEALERS
756	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	SUNDRY SPECIFIED INDUSTRIES	"RECEIVING SHOP, RECEIVING OFFICE, KEEPERS, ASSISTANTS"
757	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	MAKERS AND DEALERS (GENERAL AND UNDEFINED)	MULTIPLE SHOP KEEPERS
758	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	MAKERS AND DEALERS (GENERAL AND UNDEFINED)	GENERAL SHOPKEEPERS DEALERS
759	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	MAKERS AND DEALERS (GENERAL AND UNDEFINED)	PAWNBROKERS
760	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	MAKERS AND DEALERS (GENERAL AND UNDEFINED)	HAWKERS HUCKSTERS COSTERS
761	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	MAKERS AND DEALERS (GENERAL AND UNDEFINED)	"MANUFACTURERS, MANAGERS, SUPERINTENDENTS, FOREMEN (UNSPECIFIED)"
762	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	MAKERS AND DEALERS (GENERAL AND UNDEFINED)	CONTRACTORS - PUBLIC WORKS ETC
763	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	MAKERS AND DEALERS (GENERAL AND UNDEFINED)	NEWS BOYS VENDORS
764	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	MECHANICS AND LABOURERS (GENERAL OR UNDEFINED)	CORPORATION BOROUGH COUNCIL LABOURERS (UNDEFINED)
765	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	MECHANICS AND LABOURERS (GENERAL OR UNDEFINED)	GENERAL LABOURERS
766	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	MECHANICS AND LABOURERS (GENERAL OR UNDEFINED)	"ENGINE DRIVERS, STOKERS, FIREMEN (NOT RAILWAY, MARINE, OR AGRICULTURAL)"
767	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	MECHANICS AND LABOURERS (GENERAL OR UNDEFINED)	DRAUGHTSMEN (UNDEFINED)
768	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	MECHANICS AND LABOURERS (GENERAL OR UNDEFINED)	ARTISANS MECHANICS
769	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	MECHANICS AND LABOURERS (GENERAL OR UNDEFINED)	APPRENTICES
770	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	MECHANICS AND LABOURERS (GENERAL OR UNDEFINED)	FACTORY LABOURERS (UNDEFINED)
771	OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS	MECHANICS AND LABOURERS (GENERAL OR UNDEFINED)	MACHINISTS MACHINE WORKERS UNDEFINED
772	PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED		RETIRED (NOT ARMY OR NAVY)
773	PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED		ARMY PENSIONERS
774	PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED		NAVY PENSIONERS
775	PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED		"PENSIONERS, SUPERANNUATED"
776	PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED		RECEIVING OLD AGE PENSION (OCCUPATION OR FORMER OCCUPATION NOT STATED)
777	PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED		OWNERS OF COMPANIES
778	PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED		PRIVATE MEANS
779	PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED		THEOLOGICAL STUDENTS
780	PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED		LAW STUDENTS
781	PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED		MEDICAL STUDENTS
782	PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED		LITERARY STUDENTS
783	PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED		ART STUDENTS
784	PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED		SCIENTIFIC STUDENTS
785	PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED		OTHER STUDENTS
786	PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED		AGRICULTURAL STUDENTS
787	PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED		SCHOLARS ETC
788	PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED		WIVES AND OTHERS ENGAGED IN (OWN) HOUSEHOLD DUTIES
789	PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED		WIVES ASSISTING GENERALLY IN THEIR HUSBANDS OCCUPATIONS (WIFE OF)
790	PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED		WIDOWS (OF NO SPECIFIED OCCUPATION)
791	PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED		CHILDREN RELATIVES VISITORS AT HOME
792	PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED		PROSTITUTES
793	PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED		FOREIGN DIPLOMATS
794	PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED		"NO SPECIFIED OCCUPATION - RECEIVING INCOME, SUPPORT"
795	PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED		NO SPECIFIED OCCUPATION - CHILDREN
796	PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED		"PRISONERS, REFORM SCHOOL INMATES ETC"
797	PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED		"NO SPECIFIED OCCUPATION - VAGRANTS, UNEMPLOYED"
			
			
